,raw_message,posttime,threadid,name,topic_url
21,"The fact that an English person discussing England means the north of England when they say the north is no less common knowledge. Your West End example is another good one though *Barbara*: the reality is that people within the UK often use place descriptions that could in theory mean something different to what they're actually saying, but very obviously don't 99% of the time.",2018-04-05 08:33:51+00:00,3211446,Not to buy stuff online from companies that think the North doesn't exist?,am_i_being_unreasonable
22,"*zoo* that lunch sounds great! Nothing wrong with cereal for tea sometimes though, dd has just had weetabix for her supper as she didn't want to eat anything when we were out earlier! I hope you start to feel better soon, hope you don't mind me saying but maybe you should try again with the GP as well, is there another GP you can see?",2016-11-05 20:53:29+00:00,2769729,New Start November - in which the Friendly Fledglings Flutter and Fly!,housekeeping
23,"Last August, they introduced what is now called tier 2 in Manchester two hours before the start of Eid. Imagine them doing the same on Christmas Eve. Short notice order for no household mixing just prior to a big family focussed religious festival. 
This Christmas stuff is just a distraction from how badly they are handling everything. More people in the uK notice Christmas so they are asking us to be a big focus group before making a decision ",2020-11-22 10:52:37+00:00,4086461,To not understand why entire government policy seems to be about one day in December,am_i_being_unreasonable
24,message withdrawn,2004-07-14 17:19:59+00:00,30363,I can&#39;t stand my 3 year old,behaviour_development
25,"Morning you lovely ladies and gents! Just popping in to say Hi before I leave you all in peace for rest of wkend!

Well done to *Whimsical* for yesterday - and sorry I obv got confused and for some reason thought you weren't fasting yesterday! So belated Good Luck & Well Done! Hope hubby recovering well - though don't let him milk it! My dog was up and running around 1 day after he had snip! Can't be that diff surely?? [hmm] [wink]

Good luck to *HellesBelles* and all other fasters today and hats off to doing it on a sat. Wow!

Let the Big Peanut Butter Frenzy commence to all those partaking! 

Been lovely chatting to you all this week and apologies for thread hogging. Blame it on over excitement to finally share the 5:2 experience with likeminds!!

Anyway is it too soon to say I love you?? [smile]

[thanks] [cake] [wine] Have a lovely weekend All!",2013-10-19 08:53:35+00:00,1877700,The 5:2 thread number 28 - Come and join us! The threads may be getting on a bit but the new starters keep us young and fresh!,fasting_diet
26,"I think it's so rude and inconsiderate; I'd be tempted to say no, sorry, it's too late and I've only bought enough for the numbers that responded. ",2021-06-11 14:54:21+00:00,4268126,Children's parties RSVP,am_i_being_unreasonable
27,I've been watching ahead on you tube this weekend. I've been totally engrossed with what the stories.,2015-09-20 21:56:30+00:00,2363571,Neighbours Thread continued...MAY CONTAIN SPOILERS,telly_addicts
28,DD is in year 6 and so far she is only being given spellings from the year 3/4 list.  She is being tested on 5 each week.  I am worried that she is not going to get the opportunity to learn any of the words from the year 5/6 list.  Her teacher decided to do this because of a spelling assessment at the start of year 6 following lockdown.,2020-12-05 08:25:59+00:00,4098279,Year 6 Spellings,primary
29,"They may well mention that they're going on holiday on Saturday at school the previous week though, don't do it unless you're prepared to get found out.",2014-05-24 07:40:20+00:00,2088065,just not sending child to school for 3 days,primary
30,"Hello everyone!

We are a new new climbing centre in London near Hayes/Ealing/Slough. 
'The Nest' is a state of the art indoor climbing centre, with a workspace, café, gym, and yoga studio all under one roof. 

Climbing is a fantastic sport for kids and adults alike - not only in terms of the health benefits, helping with flexibility and endurance but also it is also known to be a great stress reliever with meditative effects.

If you are local and would like more info please:
Check out our website: [[www.thenestclimbing.co.uk]]
Give us a call on: 02039903449
Follow us on Instagram/Facebook: *@thenestclimbing*

Our address is:
The Nest Climbing
Material Walk
Hayes
UB3 1DP

Prices:
All day adult entry - £10
Under 18 entry: £5
Classes: (see website for more details)",2019-10-05 19:10:14+00:00,3709874,New Climbing Centre open near Hayes/Ealing - great activity for kids,local
31,Why did he not call the parent and telly hem to collect her or tell her she needs to wear the stuff?,2018-09-02 21:02:05+00:00,3354085,Was DH unreasonable to dd's friend?,am_i_being_unreasonable
32,"Hello Fishpants! I had a boss who was resolutely single, but wanted to be a parent - which she sucessfully arranged - then when her ds was 5 she decided she wanted another - and got twins!!!  Not everyone here has just one, and some of them are now almost ready to fly the nest. 

I did what you did - ie read back on the thread and see what the general tone etc was - and I fitted right in very happily.  That was 30 threads ago - I can't believe it!

Crumpets and frothy chocolate / coffee/ jasmine tea (not frothy) anyone?",2011-10-20 10:28:25+00:00,1316459,30 up  The tea room afloat,one_child_families
33,"

[quote Orlania]^yet think inheritance is totally fine, are hypocrites.^

Not really, as inheritance is generally from their own families, parents etc. You wouldn't expect to receive an inheritance handout from a stranger would you.[/quote]
You miss the point. Inheritance means people don't have equal opportunities and therefore there's no justification to say high earners must have worked harder or smarter than low earners.

The hypocrisy is in claiming anything you achieved was purely down to you, yet still wanting to give your own kids a head start in life. Why would you do that, unless under all the bluster about hard work and achievement you know it really does make a difference.",2021-01-07 20:12:12+00:00,4124504,Opinions you have that aren't popular on mumsnet(2),am_i_being_unreasonable
34,- take a look at this link. 2-3 days discomfort and 7 days max,2009-12-13 23:00:09+00:00,876351,Anyone had any sinus surgery?,general_health
35,When I was younger and shared a flat with my friend we regularly had enough money to either eat properly or buy fags ang go out drinking. Fags and drink always won. We ate lots of minging dinners then.,2006-01-17 17:12:24+00:00,138558,SO who is having something minging for dinner tonight?,other_subjects
36,Message deleted by Mumsnet for breaking our [[http://www.mumsnet.com/info/netiquette Talk Guidelines]]. Replies may also be deleted.,2013-07-21 22:33:48+00:00,1806908,To think parents should teach their children how to behave round dogs,am_i_being_unreasonable
37,"You emailed them and said there were issues. They’re putting something in place to help. 

Sorry if this is out of turn but are you reacting because of your own MH issues?",2018-10-20 13:21:22+00:00,3400233,To wonder why Dd being offerered mental health support in school,am_i_being_unreasonable
38,"I’m an emetophobe and I wouldn’t be able to use that toilet, at all, ever again until she stopped leaving it in a mess   😷",2017-12-12 16:08:38+00:00,3111069,Puking colleague,am_i_being_unreasonable
39,Message withdrawn at poster's request.,2013-09-14 16:21:58+00:00,1852686,To not know a swear word starting with K?,am_i_being_unreasonable
40,"I got top grades in my subject at O and A Level, but I didn't get a first in my degree.  The ones who did went into different professions.

However, whilst employed as a teacher, as well as my specialist subject, I have been required to teach other subjects which I have no qualifications in because there was a gap on the timetable - it was a matter of swotting up the night before - more blemming work!!",2015-11-19 18:52:58+00:00,2512193,To ask if you think secondary teachers should have achieved top grades in their subject area,am_i_being_unreasonable
41,"My son's EP report states things that he most obviousle cannot do. @He can take off his shoes and put them back on by himself'. How is this possible? He has Hypotonia and Hypermobility Syndrome, his thumb and wrist regularly (daily) sublux to the point that he cannot hold a pencil without them strapped up, and he wears bleedin PEDRO'S! how many 4 1/2 yr olds can do laces??!! It also states that he can ride a bike...Well he's been trying at home, and gets frustrated cos he CAN'T!, @He can pull his trousers down and up to use the toilet'...He can, if you want him walking like a penguin, and falling over cos they're twisted! He can manipulate small construction bricks' NO! he can't, he has trouble with duplo, never mind lego! So I CAN do something about it? I'm sure it's only cos I told the LEA before this that I thought he needed a statement!",2008-08-22 10:05:54+00:00,528315,Educational psychologist report,special_educational_needs
42,Singlepringle what do you wear? ,2015-04-27 22:25:10+00:00,2362722,What summer dresses can I wear with leggings?,style_and_beauty
43,"^why do they hate actual biological born-women^

No such thing as a biological born women, and it's transphobic to suggest that there is. Some males are born with vaginas and some females are born with a penis. Genitals are just a body part and not some sort of indicator of identity. You are what you feel, focusing on genitals is just so shallow.",2017-02-05 19:51:00+00:00,2846957,Group wants to ban feminist books from a women's library - WTF?,am_i_being_unreasonable
44,"[quote Listener2021]*He is very wealthy - he's a millionaire and a man who's always looked after people closest to him*

No he hasn't. He's dumped two teenagers in favour of a much younger woman who is prepared to idolise him.  

Teenagers are in general rebellious and not easily bought. In 3 years time you will have one, and another well on the way.  Make sure you are financially secure, because you will also be pushing 50 and once a dumper, always a dumper. If you won't face reality for yourself, try and face it for your kids.[/quote]
This. In spades.

What happens OP, when he's been with you a few years and finds a younger, more alluring woman? All the concerns about your DS are valid and should be your primary worry, but, as a secondary, men who will leave a marriage/relationship for the OW rarely change. ",2021-05-19 13:23:24+00:00,4248797,DS (8) doesn't get along with the man who's the love of my life,stepparenting
45,"Oh my God, he`s just awful. Does it help if I say that you sound really sane. Very articulate and in control. you might not feel like that or believe that you are, but that is how you`re coming accross. You must be the kind of person who copes well in a crisis. 
 He just fits the ""narcissist"" description to a T. Is there anyway of knowing how long this can go on for? Because I think the refuge is sounding like a good idea now. With abuse, people don`t realise how bad it is ^until^ ^they`ve^ ^left^. SO your kids might not want to go, but that might be because they`VE desensitised to his abuse and thats not good. 
 What you`Re describing is really awuful. Holding grudges and witholding love against a 3 year old, and the rest. SamVAk says, this is DANGEROUS to a child. 
 And no, I wouldn`T trust him with your elder daughter. Not because of the lack of sex, that is a different thing that narcissists do to keep their mate `hanging` and frustrated. More of a power thing- not because they don`t want sex. But because apparently every paedophile is a narcissist (not the other way round-not every narcissist is a paedophile). But they don`t see others as real people. SImply as two dimensional pawns in their life. They don`T have empathy so they can`t imagine how other people feel, or if have an idea, they simply don`T care. 
 What he has already done to your daughter counts as sexual harrasment, and is pretty disgusting by human standards. 
 Narcissists are fantastic at ""acting"" and faking emotions. SO when we meet them we feel like we`Ve met our soul mate. But this is the real him, thats it. And it can and will get worse. I would leave to the refuge if I were you. Then you can give yourself some breathing space. If you`re in a mess, you`Re no good to your kids anyway. I`m sure, when you get there, you`ll look back and be amazed you were living with him for as long as you were. I doubt you`ll regret going.",2007-07-24 00:54:11+00:00,352970,Divorce solicitor advice please?,relationships
46,"Yeah it's a pain but like Rhino said, wee is strongest first thing in the morning so might have more of a chance of being positive. 
 
Have you got another test?",2007-02-16 20:51:04+00:00,279854,Faint +ve? aaaargh confused.,conception
47,Prices have been climbing steadily since February/March - I’m afraid they don’t sound too bad ☹️,2018-04-22 21:18:35+00:00,3228795,Cost of flights San Fransisco/California road trip,holidays
48,"Yay! Congratulations *sotired* and lovely that DS1 is (so far) managing well with the new arrival. Also great that your SPd has improved so quickly, that must be a huge relief.

Glad your blessingway went well too, *msbuggy* :)",2011-12-06 18:51:59+00:00,1352657,"December 2011:Once we pop, we just can't stop",birth_clubs
49,Man spread when sitting down as much as possible.,2017-06-19 16:32:55+00:00,2958213,"Thighs rubbing together, advice on how to soothe the soreness",general_health
50,just cos she hates cyber hugs (or syber hgus as she called 'em --aw bless),2005-04-08 17:20:58+00:00,69953,Would you like to join me in hugging cod?,other_subjects
51,And that would quite obviously be parent! ,2012-07-16 23:07:19+00:00,1519146,how dangerous to put baby to sleep on side ?,sleep
52,"Go ahead and leave the crap review. 

If there had been some acknowledgement, an idea of timescale, I may have waited, but TV host kind of rudeness isn't good.",2019-02-12 12:30:42+00:00,3506180,To have walked out?,am_i_being_unreasonable
53,"**@steppemum** I am so sorry for your loss. I am in complete agreement with you, I think it is appalling that your relative was put in that situation. Someone's right to refuse medical treatment does not trump someone elses right to be cared for safely. Yes, people have a choice not to have the vaccine, but they have to do so knowing that this may in turn curtail their freedom to do things when it puts other people's lives at risk.",2021-04-11 01:25:52+00:00,4216338,To think it’s no one’s business if you have the Covid vacc,am_i_being_unreasonable
54,"Does it look like it may have a yellow/white head? If so it needs to drain which will relieve the pain. Try sitting in the bath. You have to be a little patient with that and the compresses.

However I would also call 111 for some advice and consider going to hospital.",2018-09-22 03:47:09+00:00,3372617,Vulva lump please help,_chat
55,"Spoon of medicine. Spoon of brown sugar. 
That's how I do it. ",2020-03-03 20:11:05+00:00,3837640,Help.,_chat
56,"I can't believe Always haven't reacted to the adverse criticism.  Surely their sales are down?  I have given up buying them for that very reason, and I think lots on here have too.",2015-07-02 21:28:46+00:00,2416596,To think that sanitary towels should not be scented!,am_i_being_unreasonable
57,"i love gene hunt, he fires up my quattro <geddit>",2010-05-16 18:12:31+00:00,963927,"MNHQ, a word in your shell-like please - about these pro-BNP threads... consider this a petition",site_stuff
58,My DSis bought a vintage baguette box from Ebay for her wrapping paper storage. It looks very cool.,2018-09-23 14:47:54+00:00,3373618,Can you help me find a tall cardboard storage box to keep my wrapping paper rolls in?,am_i_being_unreasonable
59,"Falcon/winter soldier is starting week after this finishes then Loki after that.

We know it's setting the stage for multiverse stuff with spiderman and Dr Strange but also rumours of Young Avengers. This includes the twins, young loki, and I think monica. In the comics, Vision is also part of the group so if staying true they need a way to keep him. Possibly getting a mind stone from a parallel universe? 

As he's basically a computer, I wonder if his pieces contained memories. I don't think the mind stone we see in this is real. Just part of the illusion.

Darcy could be a fortune teller with outside knowledge [grin]

If it isn't Wanda they will need the twins to be teens to help fight.
If it is Wanda they will need the twins to be teens to help fight her!

It's clear they are not controlled by her.",2021-02-13 19:56:05+00:00,4125682,WandaVision,telly_addicts
60,"I kept my dd off on a sports day once because I knew it was going to be very badly run, very hot, no shade and not enough access to drinks
I would do it again if necessary.
I completely understand your position OP.",2018-06-19 22:59:01+00:00,3283271,Dyspraxia and sports day ,am_i_being_unreasonable
61,"This has seriously annoyed me, wikipedia can't unilaterally decide to redefine things based on a minority opinion, the articles should be based on facts! Both articles locked for editting, if enough people complain they'll have to change it back? I think these are new edits but the protection makes me feel like it's at least semi-official.",2019-07-23 18:29:42+00:00,3645989,Wikipedia definitions of Woman and Transwoman,womens_rights
62,"After the outburst and row which sparked this discussion last week I went away for a few days and did no contact I was hurt by the way he behaved 

He panicked and said he thought he had lost me and said he couldn't continue to treat me as he has and needs to sort himself out ",2018-06-21 19:41:56+00:00,3284495,He needs space ,relationships
63,"What ScambledSmegs says about a trusted friend. Ask one of your most honest friends and have her help you trace it. It's a new-to-you house, so there's no shame. The sub-floor round the tiloilet bowl could be steeped in old man-pee or little-boy-pee. It's those who stand up to pee who create the problem. Man-pee is rank. 😷",2019-11-03 14:11:09+00:00,3734150,FiL said our house smells of urine,am_i_being_unreasonable
64,"Oops, I meant £50k!",2019-11-07 07:01:28+00:00,3736852,"Teaching, school business manager or option c...",the_staffroom
65,"Back in my youth, I dated a guy who was at university.  He was very right on and always banging on about politics and so on.  At the time, I was working and saving up for a holiday in the Caribbean.  He ranted on about how extravagant that was, that I could feed third world children for a year with the money I was spending, blah blah.

I wasn't keen on him by this point and wasn't sure whether to take things any further.  However, one evening I was at his --squalid-- student flat and we ended up in bed.  We were still clothed at this point.  He leaned over to removed the manky trainers that were permanently --surgically-- attached to his feet.

OMG the smell of his feet!  I was gagging!  I made an excuse about having to go home to watch paint dry and left...",2014-01-31 14:45:03+00:00,1981569,What's your worst ever date...?,relationships
66,"Yes sorry should have clarified my point about extending leave was in order to maintain job role and not pay back maternity

My DH and I were ships passing in the night so I do understand the difficulty. (Not why the marriage broke up though)",2019-01-18 10:50:06+00:00,3481272,Not returning to work after maternity leave - NHS,_chat
67,"I want to know what he replied to your text, OP.

I'm ashamed of a fellow bloke.  He's a total wanker (at best).

This is only the second time I've said this here but I would seriously consider threatening to leave the bastard if he isn't incredibly contrite and vows never to be such a selfish prick again (genuine work issues notwithstanding).",2012-12-20 09:24:02+00:00,1640605,AIBU to be so cross with DP?,am_i_being_unreasonable
68,"A bit late for your visit but you might have some more lined up. 
The one thing that should be in your mind when viewing nurseries is would I want to come here if I was a child?
Each nursery has a different 'feel' about them. The nursery should feel welcoming, homely, friendly and fun. If you don't get that feeling, then walk away.
Practical questions you might need to ask may concern
opening hours
bank holidays
menus
fees
activities offered
whether nappies and wipes are included
how much deposit is needed 
and whether they have a waiting list
you could also ask them about their latest ofsted report and when the next one is due",2012-07-10 15:55:21+00:00,1510633,Visiting nursery: what questions to ask?,nurseries
69,A case has been found in a specific part of maidstone too. Tomorrow they are doing house to house testing in that area.,2021-02-01 14:18:34+00:00,4153212,South African variant in Surrey ***Not for the anxious***,coronavirus
70,"*Angie169* randomly bred dogs are as likely to have genetic problems as other dogs. It all depends on what health problems you are dealing with. I am not an expert in this but from a hobbist's perspective take these examples:

- hip dysplasia: to deal with this you need generations of dogs screened and carefully bred. A random mongrel won't be immune to these kinds of problems simply by being a mix of breeds as they affect many breeds.
- haemophiloa: carried through the female line, it can affect any mongrel dog whose mother has the gene. 
- degenerative myelopathy: both recessive and affecting many different breeds. This seems to be so prevalent in some breeds that even purposeful breeding after screening may not manage to get rid of it. So having a mongrel with any of the affected breeds in its pedigree makes it likely to have the gene.",2019-03-07 10:38:01+00:00,3525323,How do you buy a dog,thirty_days_only
71,It’s very strange and I’d be worried.,2019-08-02 21:01:06+00:00,3654633,to want to say something to my sister about my niece,am_i_being_unreasonable
72,"I've completely lost any desire to eat sweet things. 

My DC toasted a cinnamon raisin bagel, and it smelled overpoweringly sweet in the kitchen, like a cake was baking. I didn't like it.

This is a shock!",2019-01-23 20:57:32+00:00,3485008,Week 2 - January Low Carb Bootcamp - my favourite week!,low_carb_bootcamp
73,"*I've nothing to fight & no animosity towards anyone*
This.

*Bellini* I would never condone that type of insult but a Brexiter cannot meaningfully apologise for someone else's insult purely because they share Brexit beliefs.  Because we do not act as one, we don't even know each other, we are individuals (and hence _not a cult_ as you seem to believe).  If you want to see cult-like behaviour, I refer you to the examples given in  *Andante57's* post above, of which there are many more if you cared to look.

I'm personally well ""over it"", because apparently, ""we won"" (who knew? [smile]).  I will ignore people who come in, drop a quick snarky insult out of nowhere then skulk off again.   It wouldn't happen in real life so perhaps this is the only outlet left to them. 

The bickering (you are so right *Kaliorphic*) is tragic.  It's up to us what we make of it now.  I intend to unashamedly enjoy the wins (quietly, not crossing a line into gloating) because the big work is still to be done.  It will be done whether former Remainers want to join in or not.  I and the rest of my EU-national-but-UK based family will be celebrating tonight as we anticipate a much happier 2021.  
Happy new year to everyone, whatever your views 🍾🥂🎇",2020-12-31 12:07:49+00:00,4115245,The Brexit Arms,eu_referendum_2016_
74,"F&B Dimpse
Very understated 
Or maybe even F&B All White which is just white but looks fresh",2020-05-12 18:49:14+00:00,3904362,What’s your favourite paint colour?,property
75,Amazon - Catherine Lansfield ,2021-07-21 10:47:05+00:00,4302213,Children's bedding- where haven't I looked?,_chat
76,"Hi OP,  sorry I don’t know Grantham as such,  just thought with the quick train times to London it may be worth a thought. I do know the surrounding villages are very pretty, Vale of Belvoir area and prices can be expensive but vary quite a bit depending whether you’re in Lincs, Leics or Notts.
Agree with others that Southwell area is nice too.",2020-07-21 06:18:19+00:00,3970442,"Retford, Notts - does anyone know it?",property
77,"Yes, about 3 days ago. I’m reluctant to spend another £10 on those though if it’s just going to be BFN!",2017-10-30 16:22:14+00:00,3062788,trying not to POAnymoreS before 29th!!,conception
78,"OP. 

Highly important personal safety tips for you not least based on this last update regarding the slightly suspicious machinations of the PC vis-a-vis the Bobby:

1. Keep away from all bell towers
2. Keep away from any individuals sporting black hooded gowns
3. No going to any model villages or the florists
4. Watch out for the random swan

As I foretold earlier, all for the greater goood....",2018-06-25 20:39:19+00:00,3287869,Oooo I received an anonymous letter this morning...from THE VILLAGERS 😬,mumsnet_classics
79,"It would be unusual for me personally! I find even after the first date most blokes contact me on a daily basis, but it’s a personal thing I guess and all depends if you’re happy with the level of contact or not x",2020-02-06 10:34:58+00:00,3815611,Is this normal early in a relationship?!,relationships
80,Podrick - its not the first time a woman has found me a bit ^funny^.,2009-03-12 20:53:08+00:00,720237,To be scared to meet MNers in real life?,am_i_being_unreasonable
81,"I have this problem not just on the aquilegia! Has anyone here ever bought ladybirds/ladybird larvae to deal with this? If so, did it work and where's best to get them from? I'm trying to do my gardening as organically as possible.

Sorry for the mini hijack OP!",2014-05-07 14:53:56+00:00,2072821,Eeek! Aphids on my aquilegia. What to do?,gardening
82,"I think the current trend for flat shoes and hiking boots is a direct reaction against the mega-high 5 inch platform stilettos of the 2010s. When I was at uni in the early noughties, heels were about 3 inches and I could walk in them with ease. Then they got higher and higher and less and less comfortable. Lockdown is a freak occurrence in modern terms (yes, I know, Spanish flu etc etc) and has thrown fashion cycles off, but we’re basically back at early 90s grunge and DMs. I would have expected heels to start sneaking back in - mid-90s kitten heels, maybe! However, I have no idea what effect the pandemic will have on fashion - maybe we’ll see true change and innovation.",2020-11-07 20:17:56+00:00,4070821,Will we ever wear heels again?,style_and_beauty
83,"*If she knew she'd ltb.*

She still wouldn't. She'll never leave. She'll have to be dragged away from him kicking and screaming.",2015-08-30 12:25:11+00:00,2446072,"Don your paisley tabards, feel the static crackle, and join our Archers thread team hug.",radio_addicts
84,"Thank you both. That makes a lot more sense to me now. 

So essentially the estate agent would need both mortgages in principal (mine and his?)",2020-10-26 21:01:07+00:00,4061588,Divorce - buying out,legal_matters
85,"One of those moments you think could happen in your head then it happens!! Had to laugh or I would've cried! Oh well, mr buble on tv is making it better! Lol [grin]",2011-12-18 22:41:33+00:00,1320308,October 2011 - Let the poo obsession begin,postnatal_clubs
86,"Toothache is horrendous, you have my sympathy OP - sorry to hear that you couldn't get any strong painkillers.  Are you on your own or do you have someone with you at the moment?

I hope you can find a dentist to treat you ASAP tomorrow and provide some relief.",2018-09-02 21:44:53+00:00,3354093,In A&amp;E with toothache,am_i_being_unreasonable
87,"*NerrSnerr* thanks for pointing out my glaring omission, and tagging me so I couldn't miss your comment. 

As much as I doubt that OP actually gives a toss about my opinion on this, I now correct it to say don't even think of going with SPD or because of the snow.

Happy?",2018-03-17 11:17:40+00:00,3196524,To not attend the 'surprise' baby shower MIL arranged for me,am_i_being_unreasonable
88,"Can anyone recommend a babysitter please?
Many thanks [smile]",2013-10-17 16:55:41+00:00,1884634,Babysitter Required,local
