,forum,word,freq,raw_score,colour
45,_chat,jealous,1.0,-2,"(1, 0, 0, 0.4)"
46,_chat,joy,1.0,3,"(0, 0, 1, 0.6000000000000001)"
47,_chat,lack,1.0,-2,"(1, 0, 0, 0.4)"
48,_chat,laugh,1.0,1,"(0, 0, 1, 0.2)"
49,_chat,lazy,1.0,-1,"(1, 0, 0, 0.2)"
50,_chat,leadership,1.0,1,"(0, 0, 1, 0.2)"
51,_chat,leave,2.0,-1,"(1, 0, 0, 0.2)"
52,_chat,legal,1.0,1,"(0, 0, 1, 0.2)"
53,_chat,miserably,1.0,-3,"(1, 0, 0, 0.6000000000000001)"
54,_chat,mature,1.0,2,"(0, 0, 1, 0.4)"
55,_chat,mad,1.0,-3,"(1, 0, 0, 0.6000000000000001)"
56,_chat,luxury,1.0,2,"(0, 0, 1, 0.4)"
57,_chat,lucky,1.0,3,"(0, 0, 1, 0.6000000000000001)"
58,_chat,luck,1.0,3,"(0, 0, 1, 0.6000000000000001)"
59,_chat,missing,4.0,-2,"(1, 0, 0, 0.4)"
60,_chat,loving,1.0,2,"(0, 0, 1, 0.4)"
61,_chat,love,14.0,3,"(0, 0, 1, 0.6000000000000001)"
62,_chat,lost,2.0,-3,"(1, 0, 0, 0.6000000000000001)"
63,_chat,limited,1.0,-1,"(1, 0, 0, 0.2)"
64,_chat,like,35.0,2,"(0, 0, 1, 0.4)"
65,_chat,lied,2.0,-2,"(1, 0, 0, 0.4)"
66,_chat,liar,1.0,-3,"(1, 0, 0, 0.6000000000000001)"
67,_chat,lovely,13.0,3,"(0, 0, 1, 0.6000000000000001)"
68,_chat,hug,1.0,2,"(0, 0, 1, 0.4)"
69,_chat,risk,1.0,-2,"(1, 0, 0, 0.4)"
70,_chat,ruined,1.0,-2,"(1, 0, 0, 0.4)"
71,_chat,thank,6.0,2,"(0, 0, 1, 0.4)"
72,_chat,thanks,3.0,2,"(0, 0, 1, 0.4)"
73,_chat,tired,1.0,-2,"(1, 0, 0, 0.4)"
74,_chat,top,2.0,2,"(0, 0, 1, 0.4)"
75,_chat,trouble,1.0,-2,"(1, 0, 0, 0.4)"
76,_chat,troubling,1.0,-2,"(1, 0, 0, 0.4)"
77,_chat,true,1.0,2,"(0, 0, 1, 0.4)"
78,_chat,unlikely,1.0,-1,"(1, 0, 0, 0.2)"
79,_chat,unpleasant,1.0,-2,"(1, 0, 0, 0.4)"
80,_chat,unwanted,1.0,-2,"(1, 0, 0, 0.4)"
81,_chat,upsetting,2.0,-2,"(1, 0, 0, 0.4)"
82,_chat,useful,1.0,2,"(0, 0, 1, 0.4)"
83,_chat,useless,1.0,-2,"(1, 0, 0, 0.4)"
84,_chat,vague,1.0,-2,"(1, 0, 0, 0.4)"
85,_chat,victim,4.0,-3,"(1, 0, 0, 0.6000000000000001)"
86,_chat,violent,2.0,-3,"(1, 0, 0, 0.6000000000000001)"
87,_chat,vitamin,1.0,1,"(0, 0, 1, 0.2)"
88,_chat,yummy,1.0,3,"(0, 0, 1, 0.6000000000000001)"
89,_chat,yes,9.0,1,"(0, 0, 1, 0.2)"
90,_chat,yeah,1.0,1,"(0, 0, 1, 0.2)"
91,_chat,wrong,4.0,-2,"(1, 0, 0, 0.4)"
92,_chat,worth,6.0,2,"(0, 0, 1, 0.4)"
93,_chat,worst,2.0,-3,"(1, 0, 0, 0.6000000000000001)"
94,_chat,terrific,1.0,4,"(0, 0, 1, 0.8)"
95,_chat,worse,6.0,-3,"(1, 0, 0, 0.6000000000000001)"
96,_chat,wisdom,2.0,1,"(0, 0, 1, 0.2)"
97,_chat,winner,1.0,4,"(0, 0, 1, 0.8)"
98,_chat,weird,1.0,-2,"(1, 0, 0, 0.4)"
99,_chat,waste,4.0,-1,"(1, 0, 0, 0.2)"
100,_chat,warm,1.0,1,"(0, 0, 1, 0.2)"
101,_chat,want,14.0,1,"(0, 0, 1, 0.2)"
102,_chat,worried,3.0,-3,"(1, 0, 0, 0.6000000000000001)"
103,_chat,rose,1.0,1,"(0, 0, 1, 0.2)"
104,_chat,terrible,1.0,-3,"(1, 0, 0, 0.6000000000000001)"
105,_chat,super,1.0,3,"(0, 0, 1, 0.6000000000000001)"
106,_chat,sad,5.0,-2,"(1, 0, 0, 0.4)"
107,_chat,sadly,1.0,-2,"(1, 0, 0, 0.4)"
108,_chat,safe,1.0,1,"(0, 0, 1, 0.2)"
109,_chat,save,1.0,2,"(0, 0, 1, 0.4)"
110,_chat,scar,1.0,-2,"(1, 0, 0, 0.4)"
111,_chat,screwed,1.0,-2,"(1, 0, 0, 0.4)"
112,_chat,shameful,2.0,-2,"(1, 0, 0, 0.4)"
113,_chat,share,1.0,1,"(0, 0, 1, 0.2)"
114,_chat,shy,1.0,-1,"(1, 0, 0, 0.2)"
115,_chat,smile,4.0,2,"(0, 0, 1, 0.4)"
116,_chat,solid,1.0,2,"(0, 0, 1, 0.4)"
117,_chat,sorry,4.0,-1,"(1, 0, 0, 0.2)"
118,_chat,spiteful,1.0,-2,"(1, 0, 0, 0.4)"
119,_chat,stinking,1.0,-2,"(1, 0, 0, 0.4)"
120,_chat,stop,5.0,-1,"(1, 0, 0, 0.2)"
121,_chat,stopped,1.0,-1,"(1, 0, 0, 0.2)"
122,_chat,stopping,1.0,-1,"(1, 0, 0, 0.2)"
123,_chat,suffering,1.0,-2,"(1, 0, 0, 0.4)"
124,_chat,suffer,1.0,-2,"(1, 0, 0, 0.4)"
125,_chat,suck,1.0,-3,"(1, 0, 0, 0.6000000000000001)"
126,_chat,success,1.0,2,"(0, 0, 1, 0.4)"
127,_chat,stupidly,1.0,-2,"(1, 0, 0, 0.4)"
128,_chat,stupid,1.0,-2,"(1, 0, 0, 0.4)"
129,_chat,suspect,1.0,-1,"(1, 0, 0, 0.2)"
130,_chat,stunning,1.0,4,"(0, 0, 1, 0.8)"
131,_chat,stubborn,1.0,-2,"(1, 0, 0, 0.4)"
132,_chat,struggle,1.0,-2,"(1, 0, 0, 0.4)"
133,_chat,strong,2.0,2,"(0, 0, 1, 0.4)"
134,_chat,stress,2.0,-1,"(1, 0, 0, 0.2)"
135,_chat,strength,1.0,2,"(0, 0, 1, 0.4)"
136,_chat,straight,1.0,1,"(0, 0, 1, 0.2)"
137,_chat,stuck,1.0,-2,"(1, 0, 0, 0.4)"
138,_chat,horrible,2.0,-3,"(1, 0, 0, 0.6000000000000001)"
139,_chat,support,2.0,2,"(0, 0, 1, 0.4)"
140,_chat,hopefully,1.0,2,"(0, 0, 1, 0.4)"
141,_chat,care,2.0,2,"(0, 0, 1, 0.4)"
142,_chat,careful,1.0,2,"(0, 0, 1, 0.4)"
143,_chat,casualty,1.0,-2,"(1, 0, 0, 0.4)"
144,_chat,certain,2.0,1,"(0, 0, 1, 0.2)"
145,_chat,chance,3.0,2,"(0, 0, 1, 0.4)"
146,_chat,clean,1.0,2,"(0, 0, 1, 0.4)"
147,_chat,cleaner,1.0,2,"(0, 0, 1, 0.4)"
148,_chat,clear,3.0,1,"(0, 0, 1, 0.2)"
149,_chat,clearly,3.0,1,"(0, 0, 1, 0.2)"
150,_chat,clever,2.0,2,"(0, 0, 1, 0.4)"
151,_chat,comedy,1.0,1,"(0, 0, 1, 0.2)"
152,_chat,comfortable,2.0,2,"(0, 0, 1, 0.4)"
153,_chat,comic,1.0,1,"(0, 0, 1, 0.2)"
154,_chat,commit,1.0,1,"(0, 0, 1, 0.2)"
155,_chat,competent,2.0,2,"(0, 0, 1, 0.4)"
156,_chat,compliment,1.0,2,"(0, 0, 1, 0.4)"
157,_chat,concerned,2.0,-2,"(1, 0, 0, 0.4)"
158,_chat,deterrent,1.0,-2,"(1, 0, 0, 0.4)"
159,_chat,depressing,1.0,-2,"(1, 0, 0, 0.4)"
160,_chat,demand,2.0,-1,"(1, 0, 0, 0.2)"
161,_chat,delicious,2.0,3,"(0, 0, 1, 0.6000000000000001)"
162,_chat,delay,1.0,-1,"(1, 0, 0, 0.2)"
163,_chat,debt,1.0,-2,"(1, 0, 0, 0.4)"
164,_chat,capable,1.0,1,"(0, 0, 1, 0.2)"
165,_chat,death,1.0,-2,"(1, 0, 0, 0.4)"
166,_chat,dead,2.0,-3,"(1, 0, 0, 0.6000000000000001)"
167,_chat,damn,1.0,-2,"(1, 0, 0, 0.4)"
168,_chat,cut,2.0,-1,"(1, 0, 0, 0.2)"
169,_chat,crazy,2.0,-2,"(1, 0, 0, 0.4)"
170,_chat,consent,1.0,2,"(0, 0, 1, 0.4)"
171,_chat,confused,1.0,-2,"(1, 0, 0, 0.4)"
172,_chat,dear,1.0,2,"(0, 0, 1, 0.4)"
173,_chat,difficult,2.0,-1,"(1, 0, 0, 0.2)"
174,_chat,bullying,1.0,-2,"(1, 0, 0, 0.4)"
175,_chat,broke,2.0,-1,"(1, 0, 0, 0.2)"
176,_chat,horrendous,1.0,-3,"(1, 0, 0, 0.6000000000000001)"
177,_chat,accidental,1.0,-2,"(1, 0, 0, 0.4)"
178,_chat,admit,1.0,-1,"(1, 0, 0, 0.2)"
179,_chat,adore,1.0,3,"(0, 0, 1, 0.6000000000000001)"
180,_chat,advantage,1.0,2,"(0, 0, 1, 0.4)"
181,_chat,adventure,1.0,2,"(0, 0, 1, 0.4)"
182,_chat,affected,1.0,-1,"(1, 0, 0, 0.2)"
183,_chat,affection,1.0,3,"(0, 0, 1, 0.6000000000000001)"
184,_chat,affordable,1.0,2,"(0, 0, 1, 0.4)"
185,_chat,agree,5.0,1,"(0, 0, 1, 0.2)"
186,_chat,agreed,2.0,1,"(0, 0, 1, 0.2)"
187,_chat,alive,1.0,1,"(0, 0, 1, 0.2)"
188,_chat,allow,2.0,1,"(0, 0, 1, 0.2)"
189,_chat,amazing,3.0,4,"(0, 0, 1, 0.8)"
190,_chat,angry,1.0,-3,"(1, 0, 0, 0.6000000000000001)"
191,_chat,annoying,1.0,-2,"(1, 0, 0, 0.4)"
192,_chat,anxiety,2.0,-2,"(1, 0, 0, 0.4)"
193,_chat,brilliant,1.0,4,"(0, 0, 1, 0.8)"
194,_chat,bright,1.0,1,"(0, 0, 1, 0.2)"
195,_chat,bore,1.0,-2,"(1, 0, 0, 0.4)"
196,_chat,bloody,3.0,-3,"(1, 0, 0, 0.6000000000000001)"
197,_chat,bizarre,2.0,-2,"(1, 0, 0, 0.4)"
198,_chat,big,8.0,1,"(0, 0, 1, 0.2)"
199,_chat,broken,1.0,-1,"(1, 0, 0, 0.2)"
200,_chat,better,9.0,2,"(0, 0, 1, 0.4)"
201,_chat,beautiful,2.0,3,"(0, 0, 1, 0.6000000000000001)"
202,_chat,bastard,2.0,-5,"(1, 0, 0, 1.0)"
203,_chat,bad,2.0,-3,"(1, 0, 0, 0.6000000000000001)"
204,_chat,awful,5.0,-3,"(1, 0, 0, 0.6000000000000001)"
205,_chat,avoid,2.0,-1,"(1, 0, 0, 0.2)"
206,_chat,anxious,1.0,-2,"(1, 0, 0, 0.4)"
207,_chat,best,10.0,3,"(0, 0, 1, 0.6000000000000001)"
208,_chat,dirty,2.0,-2,"(1, 0, 0, 0.4)"
209,_chat,asset,1.0,2,"(0, 0, 1, 0.4)"
210,_chat,disappointed,1.0,-2,"(1, 0, 0, 0.4)"
211,_chat,grant,1.0,1,"(0, 0, 1, 0.2)"
212,_chat,grand,1.0,3,"(0, 0, 1, 0.6000000000000001)"
213,_chat,good,21.0,3,"(0, 0, 1, 0.6000000000000001)"
214,_chat,gold,1.0,2,"(0, 0, 1, 0.4)"
215,_chat,god,3.0,1,"(0, 0, 1, 0.2)"
216,_chat,garbage,1.0,-1,"(1, 0, 0, 0.2)"
217,_chat,great,11.0,3,"(0, 0, 1, 0.6000000000000001)"
218,_chat,funny,2.0,4,"(0, 0, 1, 0.8)"
219,_chat,fun,1.0,4,"(0, 0, 1, 0.8)"
220,_chat,friendly,5.0,2,"(0, 0, 1, 0.4)"
221,_chat,friend,4.0,1,"(0, 0, 1, 0.2)"
222,_chat,fresh,1.0,1,"(0, 0, 1, 0.2)"
223,_chat,freedom,1.0,2,"(0, 0, 1, 0.4)"
224,_chat,free,3.0,1,"(0, 0, 1, 0.2)"
225,_chat,funeral,1.0,-1,"(1, 0, 0, 0.2)"
226,_chat,foul,2.0,-3,"(1, 0, 0, 0.6000000000000001)"
227,_chat,greater,1.0,3,"(0, 0, 1, 0.6000000000000001)"
228,_chat,growing,1.0,1,"(0, 0, 1, 0.2)"
229,_chat,hope,6.0,2,"(0, 0, 1, 0.4)"
230,_chat,disability,1.0,-2,"(1, 0, 0, 0.4)"
231,_chat,honest,2.0,2,"(0, 0, 1, 0.4)"
232,_chat,hide,1.0,-1,"(1, 0, 0, 0.2)"
233,_chat,helping,1.0,2,"(0, 0, 1, 0.4)"
234,_chat,helpful,2.0,2,"(0, 0, 1, 0.4)"
235,_chat,grim,1.0,-2,"(1, 0, 0, 0.4)"
236,_chat,help,11.0,2,"(0, 0, 1, 0.4)"
237,_chat,heartbreaking,1.0,-3,"(1, 0, 0, 0.6000000000000001)"
238,_chat,hatred,1.0,-3,"(1, 0, 0, 0.6000000000000001)"
239,_chat,hate,1.0,-3,"(1, 0, 0, 0.6000000000000001)"
240,_chat,happy,1.0,3,"(0, 0, 1, 0.6000000000000001)"
241,_chat,guilty,1.0,-3,"(1, 0, 0, 0.6000000000000001)"
242,_chat,guarantee,1.0,1,"(0, 0, 1, 0.2)"
243,_chat,hell,2.0,-4,"(1, 0, 0, 0.8)"
244,_chat,fortunate,1.0,2,"(0, 0, 1, 0.4)"
245,_chat,hard,2.0,-1,"(1, 0, 0, 0.2)"
246,_chat,forgot,2.0,-1,"(1, 0, 0, 0.2)"
247,_chat,engrossed,1.0,1,"(0, 0, 1, 0.2)"
248,_chat,encourage,1.0,2,"(0, 0, 1, 0.4)"
249,_chat,empty,1.0,-1,"(1, 0, 0, 0.2)"
250,_chat,embarrassed,1.0,-2,"(1, 0, 0, 0.4)"
251,_chat,effectively,1.0,2,"(0, 0, 1, 0.4)"
252,_chat,effective,1.0,2,"(0, 0, 1, 0.4)"
253,_chat,enjoy,2.0,2,"(0, 0, 1, 0.4)"
254,_chat,easy,4.0,1,"(0, 0, 1, 0.2)"
255,_chat,doubt,3.0,-1,"(1, 0, 0, 0.2)"
256,_chat,donation,1.0,2,"(0, 0, 1, 0.4)"
257,_chat,disruption,1.0,-2,"(1, 0, 0, 0.4)"
258,_chat,disguise,1.0,-1,"(1, 0, 0, 0.2)"
259,_chat,disappointment,2.0,-2,"(1, 0, 0, 0.4)"
260,_chat,discomfort,1.0,-2,"(1, 0, 0, 0.4)"
261,_chat,drunk,1.0,-2,"(1, 0, 0, 0.4)"
262,_chat,enjoying,1.0,2,"(0, 0, 1, 0.4)"
263,_chat,drop,1.0,-1,"(1, 0, 0, 0.2)"
264,_chat,feeling,4.0,1,"(0, 0, 1, 0.2)"
265,_chat,envy,1.0,-1,"(1, 0, 0, 0.2)"
266,_chat,forgive,1.0,1,"(0, 0, 1, 0.2)"
267,_chat,fit,1.0,1,"(0, 0, 1, 0.2)"
268,_chat,fine,5.0,2,"(0, 0, 1, 0.4)"
269,_chat,fear,1.0,-2,"(1, 0, 0, 0.4)"
270,_chat,fantastic,1.0,4,"(0, 0, 1, 0.8)"
271,_chat,fan,1.0,3,"(0, 0, 1, 0.6000000000000001)"
272,_chat,foolish,1.0,-2,"(1, 0, 0, 0.4)"
273,_chat,fair,3.0,2,"(0, 0, 1, 0.4)"
274,_chat,failing,1.0,-2,"(1, 0, 0, 0.4)"
275,_chat,excuse,1.0,-1,"(1, 0, 0, 0.2)"
276,_chat,exciting,1.0,3,"(0, 0, 1, 0.6000000000000001)"
277,_chat,excellent,1.0,3,"(0, 0, 1, 0.6000000000000001)"
278,_chat,fallen,1.0,-2,"(1, 0, 0, 0.4)"
279,am_i_being_unreasonable,overweight,3.0,-1,"(1, 0, 0, 0.2)"
280,am_i_being_unreasonable,ouch,1.0,-2,"(1, 0, 0, 0.4)"
281,am_i_being_unreasonable,pathetic,2.0,-2,"(1, 0, 0, 0.4)"
282,am_i_being_unreasonable,pain,7.0,-2,"(1, 0, 0, 0.4)"
283,am_i_being_unreasonable,painful,2.0,-2,"(1, 0, 0, 0.4)"
284,am_i_being_unreasonable,panic,4.0,-3,"(1, 0, 0, 0.6000000000000001)"
285,am_i_being_unreasonable,paradise,1.0,3,"(0, 0, 1, 0.6000000000000001)"
286,am_i_being_unreasonable,passion,1.0,1,"(0, 0, 1, 0.2)"
287,am_i_being_unreasonable,passive,2.0,-1,"(1, 0, 0, 0.2)"
288,am_i_being_unreasonable,polite,7.0,2,"(0, 0, 1, 0.4)"
289,am_i_being_unreasonable,piss,7.0,-4,"(1, 0, 0, 0.8)"
290,am_i_being_unreasonable,peace,4.0,2,"(0, 0, 1, 0.4)"
291,am_i_being_unreasonable,peaceful,1.0,2,"(0, 0, 1, 0.4)"
292,am_i_being_unreasonable,penalty,3.0,-2,"(1, 0, 0, 0.4)"
293,am_i_being_unreasonable,perfect,7.0,3,"(0, 0, 1, 0.6000000000000001)"
294,am_i_being_unreasonable,perfectly,10.0,3,"(0, 0, 1, 0.6000000000000001)"
295,am_i_being_unreasonable,pity,2.0,-2,"(1, 0, 0, 0.4)"
296,am_i_being_unreasonable,playful,2.0,2,"(0, 0, 1, 0.4)"
297,am_i_being_unreasonable,please,31.0,1,"(0, 0, 1, 0.2)"
298,am_i_being_unreasonable,pleasure,4.0,3,"(0, 0, 1, 0.6000000000000001)"
299,am_i_being_unreasonable,opportunity,7.0,2,"(0, 0, 1, 0.4)"
300,am_i_being_unreasonable,pointless,3.0,-2,"(1, 0, 0, 0.4)"
301,am_i_being_unreasonable,pay,28.0,-1,"(1, 0, 0, 0.2)"
302,am_i_being_unreasonable,offensive,4.0,-2,"(1, 0, 0, 0.4)"
303,am_i_being_unreasonable,nasty,7.0,-3,"(1, 0, 0, 0.6000000000000001)"
304,am_i_being_unreasonable,offend,2.0,-2,"(1, 0, 0, 0.4)"
305,am_i_being_unreasonable,moody,1.0,-1,"(1, 0, 0, 0.2)"
306,am_i_being_unreasonable,poor,21.0,-2,"(1, 0, 0, 0.4)"
307,am_i_being_unreasonable,mope,1.0,-1,"(1, 0, 0, 0.2)"
308,am_i_being_unreasonable,moron,1.0,-3,"(1, 0, 0, 0.6000000000000001)"
309,am_i_being_unreasonable,motivation,2.0,1,"(0, 0, 1, 0.2)"
310,am_i_being_unreasonable,mourn,1.0,-2,"(1, 0, 0, 0.4)"
311,am_i_being_unreasonable,muddy,2.0,-2,"(1, 0, 0, 0.4)"
312,am_i_being_unreasonable,murderer,1.0,-2,"(1, 0, 0, 0.4)"
313,am_i_being_unreasonable,myth,1.0,-1,"(1, 0, 0, 0.2)"
314,am_i_being_unreasonable,naive,3.0,-2,"(1, 0, 0, 0.4)"
315,am_i_being_unreasonable,moaning,4.0,-2,"(1, 0, 0, 0.4)"
316,am_i_being_unreasonable,natural,7.0,1,"(0, 0, 1, 0.2)"
317,am_i_being_unreasonable,needy,2.0,-2,"(1, 0, 0, 0.4)"
318,am_i_being_unreasonable,negative,7.0,-2,"(1, 0, 0, 0.4)"
319,am_i_being_unreasonable,neglect,2.0,-2,"(1, 0, 0, 0.4)"
320,am_i_being_unreasonable,nervous,1.0,-2,"(1, 0, 0, 0.4)"
321,am_i_being_unreasonable,nice,41.0,3,"(0, 0, 1, 0.6000000000000001)"
322,am_i_being_unreasonable,noisy,5.0,-1,"(1, 0, 0, 0.2)"
323,am_i_being_unreasonable,nonsense,4.0,-2,"(1, 0, 0, 0.4)"
324,am_i_being_unreasonable,noticeable,1.0,2,"(0, 0, 1, 0.4)"
325,am_i_being_unreasonable,novel,3.0,2,"(0, 0, 1, 0.4)"
326,am_i_being_unreasonable,obnoxious,1.0,-3,"(1, 0, 0, 0.6000000000000001)"
327,am_i_being_unreasonable,odd,25.0,-2,"(1, 0, 0, 0.4)"
328,am_i_being_unreasonable,offended,4.0,-2,"(1, 0, 0, 0.4)"
329,am_i_being_unreasonable,poorly,2.0,-2,"(1, 0, 0, 0.4)"
330,am_i_being_unreasonable,reach,1.0,1,"(0, 0, 1, 0.2)"
331,am_i_being_unreasonable,positive,2.0,2,"(0, 0, 1, 0.4)"
332,am_i_being_unreasonable,rape,2.0,-4,"(1, 0, 0, 0.8)"
333,am_i_being_unreasonable,rapist,1.0,-4,"(1, 0, 0, 0.8)"
334,am_i_being_unreasonable,rash,3.0,-2,"(1, 0, 0, 0.4)"
335,am_i_being_unreasonable,reaching,2.0,1,"(0, 0, 1, 0.2)"
336,am_i_being_unreasonable,reassure,1.0,1,"(0, 0, 1, 0.2)"
337,am_i_being_unreasonable,reassured,1.0,1,"(0, 0, 1, 0.2)"
338,am_i_being_unreasonable,rebel,2.0,-2,"(1, 0, 0, 0.4)"
339,am_i_being_unreasonable,rebellion,2.0,-2,"(1, 0, 0, 0.4)"
340,am_i_being_unreasonable,reckless,1.0,-2,"(1, 0, 0, 0.4)"
341,am_i_being_unreasonable,recognition,1.0,2,"(0, 0, 1, 0.4)"
342,am_i_being_unreasonable,rant,3.0,-3,"(1, 0, 0, 0.6000000000000001)"
343,am_i_being_unreasonable,refuse,4.0,-2,"(1, 0, 0, 0.4)"
344,am_i_being_unreasonable,regret,2.0,-2,"(1, 0, 0, 0.4)"
345,am_i_being_unreasonable,reject,1.0,-1,"(1, 0, 0, 0.2)"
346,am_i_being_unreasonable,rejection,1.0,-2,"(1, 0, 0, 0.4)"
347,am_i_being_unreasonable,relaxed,4.0,2,"(0, 0, 1, 0.4)"
348,am_i_being_unreasonable,relentless,2.0,-1,"(1, 0, 0, 0.2)"
349,am_i_being_unreasonable,reliable,1.0,2,"(0, 0, 1, 0.4)"
350,am_i_being_unreasonable,reliably,1.0,2,"(0, 0, 1, 0.4)"
351,am_i_being_unreasonable,relieve,1.0,1,"(0, 0, 1, 0.2)"
352,am_i_being_unreasonable,moan,2.0,-2,"(1, 0, 0, 0.4)"
353,am_i_being_unreasonable,repulsive,3.0,-2,"(1, 0, 0, 0.4)"
354,am_i_being_unreasonable,refusing,2.0,-2,"(1, 0, 0, 0.4)"
355,am_i_being_unreasonable,rage,1.0,-2,"(1, 0, 0, 0.4)"
356,am_i_being_unreasonable,racist,5.0,-3,"(1, 0, 0, 0.6000000000000001)"
357,am_i_being_unreasonable,racism,3.0,-3,"(1, 0, 0, 0.6000000000000001)"
358,am_i_being_unreasonable,positively,1.0,2,"(0, 0, 1, 0.4)"
359,am_i_being_unreasonable,possessive,1.0,-2,"(1, 0, 0, 0.4)"
360,am_i_being_unreasonable,poverty,1.0,-1,"(1, 0, 0, 0.2)"
361,am_i_being_unreasonable,pray,2.0,1,"(0, 0, 1, 0.2)"
362,am_i_being_unreasonable,predatory,1.0,-2,"(1, 0, 0, 0.4)"
363,am_i_being_unreasonable,prepared,8.0,1,"(0, 0, 1, 0.2)"
364,am_i_being_unreasonable,pressure,9.0,-1,"(1, 0, 0, 0.2)"
365,am_i_being_unreasonable,pretend,8.0,-1,"(1, 0, 0, 0.2)"
366,am_i_being_unreasonable,pretty,32.0,1,"(0, 0, 1, 0.2)"
367,am_i_being_unreasonable,prevent,1.0,-1,"(1, 0, 0, 0.2)"
368,am_i_being_unreasonable,prick,1.0,-5,"(1, 0, 0, 1.0)"
369,am_i_being_unreasonable,prison,2.0,-2,"(1, 0, 0, 0.4)"
370,am_i_being_unreasonable,problem,49.0,-2,"(1, 0, 0, 0.4)"
371,am_i_being_unreasonable,progress,1.0,2,"(0, 0, 1, 0.4)"
372,am_i_being_unreasonable,promise,1.0,1,"(0, 0, 1, 0.2)"
373,am_i_being_unreasonable,promptly,1.0,1,"(0, 0, 1, 0.2)"
374,am_i_being_unreasonable,prospect,1.0,1,"(0, 0, 1, 0.2)"
375,am_i_being_unreasonable,protect,1.0,1,"(0, 0, 1, 0.2)"
376,am_i_being_unreasonable,protest,1.0,-2,"(1, 0, 0, 0.4)"
377,am_i_being_unreasonable,provoke,1.0,-1,"(1, 0, 0, 0.2)"
378,am_i_being_unreasonable,pure,1.0,1,"(0, 0, 1, 0.2)"
379,am_i_being_unreasonable,quality,6.0,2,"(0, 0, 1, 0.4)"
380,am_i_being_unreasonable,questionable,1.0,-2,"(1, 0, 0, 0.4)"
381,am_i_being_unreasonable,popular,2.0,3,"(0, 0, 1, 0.6000000000000001)"
382,am_i_being_unreasonable,misunderstood,3.0,-2,"(1, 0, 0, 0.4)"
383,am_i_being_unreasonable,isolated,5.0,-1,"(1, 0, 0, 0.2)"
384,am_i_being_unreasonable,mistaken,1.0,-2,"(1, 0, 0, 0.4)"
385,am_i_being_unreasonable,intimidation,1.0,-2,"(1, 0, 0, 0.4)"
